,COIL_NO,PRDSPC_ID,PNSPRC_CD,cycle,WDT_LEN,WGT_WGT,IND_CD,OUD_LEN,STL_CD,EMG_CD,고객사
211,22H11E79115,S20CM-S,AN11,620,184.0,1695,,1323,10021,1282N,NaN
212,22H11E79116,S20CM-S,AN11,620,184.0,1565,,1279,10021,1282N,NaN
213,22H11E79117,S20CM-S,AN11,620,184.0,1479,,1249,10021,1282N,NaN
214,22H11J791111A,S20CM-R,AN11,620,184.0,1451,,1240,10021,1282N,NaN
215,22H11K79111,S20CM-R,AN11,620,184.0,1774,,1350,10021,1282N,NaN
216,22H11K79112,S20CM-R,AN11,620,184.0,1774,,1350,10021,1282N,NaN
217,22H11P52111,S20CM-R,AN11,620,186.0,1747,,1335,10021,1282N,NaN
218,22H11P52112,S20CM-R,AN11,620,186.0,1702,,1320,10021,1282N,NaN
219,22H12001111,S45CM-S,AN10,725,1272.0,24800,,1880,10022,1282N,NaN
220,22H12001112,S45CM-S,AN10,725,1272.0,24700,,1877,10022,1282N,NaN
221,22H12008111,S55CM-S,AN11,725,1206.0,24630,,1919,10022,1282N,(주)정민스틸
222,22H12008112,S55CM-S,AN11,725,1206.0,24690,,1922,10022,1282N,(주)정민스틸
223,22H12025111,CK75M2,AN12,700,1200.0,23070,,1868,10022,1282Y,NaN
224,22H12026111,CK75M3,AN11,700,1182.0,22083,,1844,10022,1282Y,NaN
225,22H120271111A,CK75M3,AN11,700,296.0,2565,,1290,10022,1282N,NaN
226,22H120271111B,CK75M3,AN11,700,296.0,2757,,1330,10022,1282N,NaN
227,22H120272111A,CK75M3,AN12,700,392.0,3336,,1280,10022,1282N,NaN
228,22H120272111B,CK75M3,AN11,700,392.0,3587,,1320,10022,1282N,NaN
229,22H120273111A,CK75M3,AN11,700,288.0,2588,,1310,10022,1282N,NaN
230,22H120273111B,CK75M3,AN11,700,288.0,2682,,1330,10022,1282N,NaN
231,22H120274111A,CK75M3,AN11,700,200.0,1733,,1290,10022,1282N,NaN
232,22H120274111B,CK75M3,AN11,700,200.0,1814,,1315,10022,1282N,NaN
